filename x1 y1 x2 y2 x3 y3
uranus.Ks.102-reduc-clean-cut.fits 393.1098778097172 236.0124542179593 358.677623457688 278.1378927970122 382.7869239910308 929.8223217399038
uranus.Ks.114-reduc-clean-cut.fits 392.1487242830176 254.07147503145148 358.94022769540277 258.9817582848941 381.8356608244101 918.3448337000897
uranus.Ks.116-reduc-clean-cut.fits 392.01311892718456 258.3045647117955 359.01949258355796 255.38364169744645 381.49002424381854 915.94604418497
uranus.Ks.117-reduc-clean-cut.fits 391.63318285505215 258.76539695385884 358.7533494096839 254.38351798109844 381.2514216525254 915.276103622659
uranus.Ks.118-reduc-clean-cut.fits 391.651677997008 259.2628777928655 358.8466094566551 253.47201592015162 381.4624622006065 914.5553121332142
uranus.Ks.119-reduc-clean-cut.fits 391.7280571944244 263.2992969693558 359.16549302904673 250.54744409462725 381.43687130843415 912.7883399222779
uranus.Ks.120-reduc-clean-cut.fits 391.8522299991975 264.09477672152747 359.2853414527064 249.96297997108587 381.34967766899797 912.4013875524817
uranus.Ks.121-reduc-clean-cut.fits 391.6586353559192 264.73304870723416 359.04627804955413 249.09091090789403 381.3063253235356 912.0053229481584
uranus.Ks.122-reduc-clean-cut.fits 391.62239932594156 268.22501665757363 359.25826746548677 246.09007186745578 381.1209606256953 909.9176232478185
uranus.Ks.123-reduc-clean-cut.fits 391.42639497242186 268.8437595419076 359.0952453188523 245.29783438087722 380.9190370250571 909.510751311911
uranus.Ks.124-reduc-clean-cut.fits 391.5541006862532 269.65669854341115 359.1931193615571 244.4951272840959 381.01111117505485 908.7498436345904
uranus.Ks.125-reduc-clean-cut.fits 391.62508832099536 273.35569196240397 359.61520119027233 241.18016403555106 381.172174813405 906.728862717415
uranus.Ks.126-reduc-clean-cut.fits 391.6707064091395 274.49937648151223 359.74954400254654 240.825279609228 381.17741935591573 906.3482245620165
uranus.Ks.127-reduc-clean-cut.fits 391.7004798402938 275.1378507471723 359.8187119486677 239.94459471787752 381.1010473261667 905.6086202572294
uranus.Ks.128-reduc-clean-cut.fits 391.5090295451339 278.66081237095904 359.76491644014556 236.97135044496045 380.81320874996214 903.579923933017
uranus.Ks.129-reduc-clean-cut.fits 391.4029820696775 279.52165588683545 359.77776971076725 236.20031450477103 380.8479642532147 902.975732725198
uranus.Ks.130-reduc-clean-cut.fits 391.81392331766426 280.7315488571782 360.16643442173284 235.80801142086798 381.2899739905096 902.6449831750031
uranus.Ks.131-reduc-clean-cut.fits 390.7629507467335 284.1097421410488 359.31765686274963 232.06138787963815 380.28168527837266 899.9697463109629
uranus.Ks.132-reduc-clean-cut.fits 391.25170713652057 285.10961751619567 360.0036489570947 231.60733291828225 380.77186982199765 899.6280140866324
uranus.Ks.133-reduc-clean-cut.fits 391.04841842930347 286.07622802939466 359.66265086637486 230.92929458013728 380.3935877750714 898.7469388196203
uranus.Ks.134-reduc-clean-cut.fits 391.2096742695318 289.7465893653228 360.1669960035181 227.76720228344186 380.6381166217754 896.9206676942649
uranus.Ks.135-reduc-clean-cut.fits 390.99916316760795 290.6201396763155 359.88417261738175 227.2121016503907 380.31683114882486 896.0885431823416
uranus.Ks.136-reduc-clean-cut.fits 391.1256996025352 291.3147611149831 360.21641091536736 226.25687662432404 380.6081517517857 895.8181030830424
uranus.Ks.137-reduc-clean-cut.fits 390.9816825696991 295.8722272559092 360.32875856972174 223.34273878374754 380.49888925116363 893.6648446246709
uranus.Ks.138-reduc-clean-cut.fits 391.3258778135565 296.47205812969474 360.6612071089687 222.47499527086492 380.11987408102914 892.638810213959
uranus.Ks.140-reduc-clean-cut.fits 391.1655498160277 300.83078832172447 360.480149402832 218.38641939036108 380.34164627412196 889.567835588749
uranus.Ks.141-reduc-clean-cut.fits 391.19602428472734 301.71824655009965 360.61131885532507 217.7013353299473 380.53678092074216 889.4847130173374
uranus.Ks.142-reduc-clean-cut.fits 391.2756001753458 302.7220579536728 360.8865963576745 217.1255632101838 380.63363848856517 888.6351612251989
uranus.Ks.143-reduc-clean-cut.fits 391.56242824596154 307.28318114957784 361.5445597604077 214.3488890783416 380.8723790285525 886.4966723177582
